ibge;sigla;uf;pop
11;RO;Rondônia;1796460
12;AC;Acre;894470
13;AM;Amazonas;4207714
14;RR;Roraima;631181
15;PA;Pará;8690745
16;AP;Amapá;861773
17;TO;Tocantins;1590248
21;MA;Maranhão;7114598
22;PI;Piauí;3281480
23;CE;Ceará;9187103
24;RN;Rio Grande do Norte;3534165
25;PB;Paraíba;4039277
26;PE;Pernambuco;9616621
27;AL;Alagoas;3351543
28;SE;Sergipe;2318822
29;BA;Bahia;14930634
31;MG;Minas Gerais;21292666
32;ES;Espírito Santo;4064052
33;RJ;Rio de Janeiro;17366189
35;SP;São Paulo;46289333
41;PR;Paraná;11516840
42;SC;Santa Catarina;7252502
43;RS;Rio Grande do Sul;11422973
50;MS;Mato Grosso do Sul;2809394
51;MT;Mato Grosso;3526220
52;GO;Goiás;7113540
53;DF;Distrito Federal;3055149
